creature_large_riverlake

[OBJECT:CREATURE]

[CREATURE:HIPPO]
	[NAME:hippo:hippos:hippo]
	[TILE:'H'][COLOR:7:0:0]
	[LARGE_ROAMING]
	[AMPHIBIOUS]
	[MODVALUE:3]
	[GENPOWER:3]
	[PREFSTRING:strength]
	[IVORY]
	[DIURNAL]
	[POPULATION_NUMBER:15:30]
	[CLUSTER_NUMBER:3:7]
	[BENIGN][MEANDERER][NATURAL][PET]
	[PETVALUE:400]
	[BODY:QUADRUPED:TAIL:2EYES:2EARS:NOSE:2LUNGS:HEART:GUTS:ORGANS:THROAT:NECK:SPINE:BRAIN:MOUTH]
	[SIZE:12]
	[MAXAGE:40:50]
	[ATTACK:MAIN:BYTYPE:MOUTH:bite:bites:1:6:GORE][ATTACKFLAG_CANLATCH]
	[CHILD:5][CHILDNAME:hippo calf:hippo calves]
	[FAT:10]
	[BIOME:RIVER_TROPICAL_SALTWATER]
	[BIOME:RIVER_TROPICAL_BRACKISHWATER]
	[BIOME:RIVER_TROPICAL_FRESHWATER]
	[BIOME:LAKE_TROPICAL_SALTWATER]
	[BIOME:LAKE_TROPICAL_BRACKISHWATER]
	[BIOME:LAKE_TROPICAL_FRESHWATER]
	[STANDARD_FLESH]
	[HOMEOTHERM:10067]
	[SWIMS_INNATE][SWIM_SPEED:2500]
	[MUNDANE]

[CREATURE:FISH_GAR_LONGNOSE]
	[NAME:longnose gar:longnose gars:longnose gar]
	[TILE:'g'][COLOR:6:0:0]
	[LARGE_ROAMING]
	[AQUATIC][UNDERSWIM][IMMOBILE_LAND]
	[MODVALUE:3]
	[GENPOWER:3]
	[PREFSTRING:long noses]
	[ALL_ACTIVE]
	[POPULATION_NUMBER:15:30]
	[BENIGN][NATURAL]
	[PETVALUE:200]
	[BODY:BASIC_2PARTBODY:BASIC_HEAD:SIDE_FINS:TAIL:2EYES:HEART:GUTS:ORGANS:NECK:SPINE:BRAIN:MOUTH]
	[ATTACK:MAIN:BYTYPE:MOUTH:bite:bites:1:6:GORE][ATTACKFLAG_CANLATCH]
	[ATTACK:SECOND:BYTOKEN:TAIL:slap:slaps:1:2:BLUDGEON][ATTACKFLAG_WITH]
	[SIZE:5]
	[MAXAGE:20:30]
	[NO_DRINK]
	[CHILD:1][CHILDNAME:longnose gar fry:longnose gar fry]
	[FAT:2]
	[BIOME:RIVER_TEMPERATE_FRESHWATER]
	[BIOME:RIVER_TEMPERATE_BRACKISHWATER]
	[BIOME:LAKE_TEMPERATE_FRESHWATER]
	[BIOME:LAKE_TEMPERATE_BRACKISHWATER]
	[STANDARD_FLESH]
	[HOMEOTHERM:10067]
	[SWIMS_INNATE][SWIM_SPEED:500]
	[MUNDANE]

[CREATURE:FISH_CARP]
	[NAME:carp:carp:carp]
	[TILE:224][COLOR:3:0:0]
	[LARGE_ROAMING]
	[AQUATIC][UNDERSWIM][IMMOBILE_LAND]
	[MODVALUE:3]
	[GENPOWER:3]
	[PREFSTRING:protruding mouths]
	[ALL_ACTIVE]
	[POPULATION_NUMBER:15:30]
	[CLUSTER_NUMBER:5:10]
	[BENIGN][MEANDERER][NATURAL]
	[PETVALUE:50]
	[BODY:BASIC_2PARTBODY:BASIC_HEAD:SIDE_FINS:DORSAL_FIN:TAIL:2EYES:HEART:GUTS:ORGANS:NECK:SPINE:BRAIN:MOUTH]
	[ATTACK:MAIN:BYTYPE:MOUTH:bite:bites:1:6:GORE][ATTACKFLAG_CANLATCH]
	[ATTACK:SECOND:BYTOKEN:TAIL:slap:slaps:1:2:BLUDGEON][ATTACKFLAG_WITH]
	[SIZE:3]
	[MAXAGE:20:30]
	[NO_DRINK]
	[CHILD:1][CHILDNAME:carp fry:carp fry]
	[FAT:1]
	[BIOME:RIVER_TEMPERATE_FRESHWATER]
	[BIOME:RIVER_TROPICAL_FRESHWATER]
	[BIOME:LAKE_TEMPERATE_FRESHWATER]
	[BIOME:LAKE_TROPICAL_FRESHWATER]
	[STANDARD_FLESH]
	[HOMEOTHERM:10067]
	[SWIMS_INNATE][SWIM_SPEED:500]
	[MUNDANE]

[CREATURE:FISH_TIGERFISH]
	[NAME:tigerfish:tigerfish:tigerfish]
	[TILE:224][COLOR:3:0:1]
	[LARGE_ROAMING]
	[AQUATIC][UNDERSWIM][IMMOBILE_LAND]
	[MODVALUE:3]
	[GENPOWER:3]
	[PREFSTRING:spirit]
	[ALL_ACTIVE]
	[POPULATION_NUMBER:15:30]
	[CLUSTER_NUMBER:3:7]
	[BENIGN][NATURAL]
	[PETVALUE:200]
