creature_savage_tropical

[OBJECT:CREATURE]

[CREATURE:LION_GIANT]
	[NAME:giant lion:giant lions:giant lion]
	[TILE:'L'][COLOR:6:0:1]
	[MODVALUE:3]
	[LARGE_ROAMING][FREQUENCY:5]
	[POPULATION_NUMBER:5:10]
	[CLUSTER_NUMBER:1:3]
	[LARGE_PREDATOR][SAVAGE]
	[MEANDERER]
	[GENPOWER:2]
	[PETVALUE:200]
	[GRASSTRAMPLE:0][NATURAL][PET]
	[CARNIVORE]
	[PREFSTRING:roars]
	[BODY:QUADRUPED:TAIL:2EYES:2EARS:NOSE:2LUNGS:HEART:GUTS:ORGANS:THROAT:NECK:SPINE:BRAIN:MOUTH]
	[BODYGLOSS:PAW]
	[SIZE:11]
	[MAXAGE:10:20]
	[ATTACK:MAIN:BYTYPE:MOUTH:bite:bites:1:6:GORE][ATTACKFLAG_CANLATCH]
	[CHILD:3][CHILDNAME:giant lion cub:giant lion cubs]
	[FAT:3]
	[DIURNAL]
	[BIOME:SAVANNA_TROPICAL]
	[BIOME:GRASSLAND_TROPICAL]
	[BIOME:SHRUBLAND_TROPICAL]
	[STANDARD_FLESH]
	[HOMEOTHERM:10067]
	[LAYERING:100]
	[SWIMS_INNATE][SWIM_SPEED:2500]

[CREATURE:LEOPARD_GIANT]
	[NAME:giant leopard:giant leopards:giant leopard]
	[TILE:'L'][COLOR:6:0:1]
	[MODVALUE:3]
	[LARGE_ROAMING][FREQUENCY:5]
	[POPULATION_NUMBER:2:3]
	[CLUSTER_NUMBER:1:1]
	[LARGE_PREDATOR][SAVAGE]
	[MEANDERER]
	[GENPOWER:2]
	[PETVALUE:100]
	[GRASSTRAMPLE:0][NATURAL][PET]
	[CARNIVORE]
	[PREFSTRING:spotted coats]
	[BODY:QUADRUPED:TAIL:2EYES:2EARS:NOSE:2LUNGS:HEART:GUTS:ORGANS:THROAT:NECK:SPINE:BRAIN:MOUTH]
	[BODYGLOSS:PAW]
	[SIZE:9]
	[MAXAGE:10:20]
	[ATTACK:MAIN:BYTYPE:MOUTH:bite:bites:1:6:GORE][ATTACKFLAG_CANLATCH]
	[CHILD:3][CHILDNAME:giant leopard cub:giant leopard cubs]
	[FAT:3]
	[NOCTURNAL]
	[BIOME:ANY_TROPICAL]
	[BIOME:DESERT_BADLAND]
	[BIOME:DESERT_ROCK]
	[BIOME:DESERT_SAND]
	[STANDARD_FLESH]
	[HOMEOTHERM:10067]
	[LAYERING:100]
	[SWIMS_INNATE][SWIM_SPEED:2500]

[CREATURE:JAGUAR_GIANT]
	[NAME:giant jaguar:giant jaguars:giant jaguar]
	[TILE:'J'][COLOR:6:0:1]
	[MODVALUE:3]
	[LARGE_ROAMING][FREQUENCY:5]
	[POPULATION_NUMBER:2:3]
	[CLUSTER_NUMBER:1:1]
	[LARGE_PREDATOR][SAVAGE]
	[MEANDERER]
	[GENPOWER:2]
	[PETVALUE:100]
	[GRASSTRAMPLE:0][NATURAL][PET]
	[CARNIVORE]
	[PREFSTRING:spotted coats]
	[BODY:QUADRUPED:TAIL:2EYES:2EARS:NOSE:2LUNGS:HEART:GUTS:ORGANS:THROAT:NECK:SPINE:BRAIN:MOUTH]
	[BODYGLOSS:PAW]
	[SIZE:10]
	[MAXAGE:10:20]
	[ATTACK:MAIN:BYTYPE:MOUTH:bite:bites:1:6:GORE][ATTACKFLAG_CANLATCH]
	[CHILD:3][CHILDNAME:giant jaguar cub:giant jaguar cubs]
	[FAT:3]
	[NOCTURNAL]
	[BIOME:ANY_TROPICAL]
	[BIOME:DESERT_BADLAND]
	[BIOME:DESERT_ROCK]
	[BIOME:DESERT_SAND]
	[STANDARD_FLESH]
	[HOMEOTHERM:10067]
	[LAYERING:100]
	[SWIMS_INNATE][SWIM_SPEED:2500]

[CREATURE:TIGER_GIANT]
	[NAME:giant tiger:giant tigers:giant tiger]
