creature_small_ocean

[OBJECT:CREATURE]

[CREATURE:MUSSEL]
	[NAME:mussel:mussels:mussel]
	[TILE:'m'][COLOR:7:0:1]
	[VERMIN_FISH][NATURAL]
	[POPULATION_NUMBER:250:500]
	[MODVALUE:2]
	[AQUATIC][SMALL_REMAINS][FISHITEM][NOBONES][IMMOBILE_LAND][UNDERSWIM][COOKABLE_LIVE]
	[NO_SLEEP][NO_DRINK]
	[NOT_BUTCHERABLE]
	[PREFSTRING:beauty]
	[PEARL]
	[ALL_ACTIVE]
	[BIOME:ANY_OCEAN]
	[BIOME:ANY_LAKE]
	[BIOME:ANY_RIVER]
	[STANDARD_FLESH]
	[MUNDANE]

[CREATURE:OYSTER]
	[NAME:oyster:oysters:oyster]
	[TILE:'o'][COLOR:7:0:1]
	[VERMIN_FISH][NATURAL]
	[POPULATION_NUMBER:250:500]
	[MODVALUE:2]
	[AQUATIC][SMALL_REMAINS][FISHITEM][NOBONES][IMMOBILE_LAND][UNDERSWIM][COOKABLE_LIVE]
	[NO_SLEEP][NO_DRINK]
	[NOT_BUTCHERABLE]
	[PREFSTRING:beauty]
	[PEARL]
	[ALL_ACTIVE]
	[BIOME:ANY_OCEAN]
	[STANDARD_FLESH]
	[MUNDANE]

[CREATURE:FISH_SALMON]
	[NAME:salmon:salmon:salmon]
	[TILE:224][COLOR:4:0:1]
	[VERMIN_FISH][VERMIN_GROUNDER][FISHITEM][IMMOBILE_LAND][VERMIN_NOTRAP]
	[POPULATION_NUMBER:250:500]
	[CLUSTER_NUMBER:1:10]
	[AQUATIC][SMALL_REMAINS][UNDERSWIM]
	[NOT_BUTCHERABLE][NATURAL]
	[PREFSTRING:beauty]
	[ALL_ACTIVE]
	[NO_DRINK]
	[BIOME:OCEAN_TEMPERATE]
	[BIOME:RIVER_TEMPERATE_FRESHWATER]
	[BIOME:RIVER_TEMPERATE_BRACKISHWATER]
	[BIOME:RIVER_TEMPERATE_SALTWATER]
	[STANDARD_FLESH]
	[SWIMS_INNATE][SWIM_SPEED:1500]
	[MUNDANE]

[CREATURE:FISH_CLOWNFISH]
	[NAME:clownfish:clownfish:clownfish]
	[TILE:224][COLOR:4:0:1]
	[VERMIN_GROUNDER]
	[POPULATION_NUMBER:250:500]
	[AQUATIC][SMALL_REMAINS][FISHITEM][IMMOBILE_LAND][UNDERSWIM][VERMIN_NOTRAP]
	[NOT_BUTCHERABLE][NATURAL]
	[PREFSTRING:coloration]
	[ALL_ACTIVE]
	[NO_DRINK]
	[BIOME:OCEAN_TROPICAL]
	[STANDARD_FLESH]
	[SWIMS_INNATE][SWIM_SPEED:1500]
	[MUNDANE]

[CREATURE:FISH_HAGFISH]
	[NAME:hagfish:hagfish:hagfish]
	[TILE:'~'][COLOR:6:0:0]
	[VERMIN_GROUNDER]
	[POPULATION_NUMBER:250:500]
	[AQUATIC][SMALL_REMAINS][FISHITEM][IMMOBILE_LAND][UNDERSWIM][VERMIN_NOTRAP]
	[NOT_BUTCHERABLE][NATURAL]
	[PREFSTRING:slime]
